hydrogen_capped_molecule,n_polymers,n_distinct_under_methyl_capping,tg_min_K,tg_max_K,tg_spread_K,psmiles
O=C1c2ccccc2C(=O)N1c1cccc(OCCCCCOc2cccc(N3C(=O)c4ccccc4C3=O)c2)c1,2,2,438.15,441.15,3.0,[*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCOc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCOc3cccc(N4C(=O)c5cccc([*])c5C4=O)c3)c1)C2=O
CCCNC(=O)c1ccc(C(=O)NCCCC(C)C)cc1,2,2,423.15,425.15,2.0,[*]CCCNC(=O)c1ccc(C(=O)NCCC([*])C(C)C)cc1 | [*]CCCNC(=O)c1ccc(C(=O)NCCCC([*])(C)C)cc1
O=C1c2ccccc2C(=O)N1c1cccc(OCCCCCCCCCCOc2cccc(N3C(=O)c4ccccc4C3=O)c2)c1,2,2,398.15,400.15,2.0,[*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCCOc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCCOc3cccc(N4C(=O)c5cccc([*])c5C4=O)c3)c1)C2=O
O=C1c2ccccc2C(=O)N1c1cccc(OCCCCCCCCCOc2cccc(N3C(=O)c4ccccc4C3=O)c2)c1,2,2,405.15,407.15,2.0,[*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCOc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCOc3cccc(N4C(=O)c5cccc([*])c5C4=O)c3)c1)C2=O
Cc1ccccc1NC(=O)OCCCCCCOc1ccc(-c2ccc(OCCCCCCOC(N)=O)cc2)cc1,2,2,360.15,362.15,2.0,[*]NC(=O)OCCCCCCOc1ccc(-c2ccc(OCCCCCCOC(=O)Nc3cc([*])ccc3C)cc2)cc1 | [*]NC(=O)OCCCCCCOc1ccc(-c2ccc(OCCCCCCOC(=O)Nc3ccc([*])cc3C)cc2)cc1
c1ccc(-c2nc3ccccc3nc2-c2cccc(-c3nc4ccccc4nc3-c3ccccc3)c2)cc1,2,2,592.15,593.15,1.0,[*]c1ccc2nc(-c3cccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)c3)c(-c3ccccc3)nc2c1 | [*]c1ccc2nc(-c3ccccc3)c(-c3cccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)c3)nc2c1
O=C1c2ccccc2C(=O)N1c1ccc(Sc2ccc(Sc3ccc(Sc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3)cc2)cc1,2,2,499.85,500.25,0.39999999999997726,[*]c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Sc4ccc(Sc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Sc4ccc(Sc5ccc(N6C(=O)c7cccc([*])c7C6=O)cc5)cc4)cc3)cc1)C2=O
CCCOC(C)=O,2,2,257.75,258.15,0.39999999999997726,[*]C([*])C(=O)OCCC | [*]CC(=O)OC([*])CC
CCc1cccc2ccccc12,2,2,433.15,433.15,0.0,[*]CC([*])c1cccc2ccccc12 | [*]CCc1ccc([*])c2ccccc12
c1ccc(-c2cnc3cc4nccnc4cc3n2)cc1,2,2,665.15,665.15,0.0,[*]c1ccc(-c2cnc3cc4nc([*])cnc4cc3n2)cc1 | [*]c1ccc(-c2cnc3cc4ncc([*])nc4cc3n2)cc1
c1ccc(-c2ccn(-c3ccc(-n4cccn4)cc3)n2)cc1,2,2,348.15,348.15,0.0,[*]c1ccc(-c2ccn(-c3ccc(-n4ccc([*])n4)cc3)n2)cc1 | [*]c1cccc(-c2ccn(-c3ccc(-n4ccc([*])n4)cc3)n2)c1
c1ccc(Oc2ccc(-c3cnc4cc5nccnc5cc4n3)cc2)cc1,2,2,626.15,626.15,0.0,[*]c1ccc(Oc2ccc(-c3cnc4cc5nc([*])cnc5cc4n3)cc2)cc1 | [*]c1ccc(Oc2ccc(-c3cnc4cc5ncc([*])nc5cc4n3)cc2)cc1
O=C1c2ccccc2C(=O)N1c1cccc(OCCCCCCCCCCCCOc2cccc(N3C(=O)c4ccccc4C3=O)c2)c1,2,2,389.15,389.15,0.0,[*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCCCCOc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1cccc(OCCCCCCCCCCCCOc3cccc(N4C(=O)c5cccc([*])c5C4=O)c3)c1)C2=O
c1ccc(-c2nc3ccccc3nc2-c2ccc(Sc3ccc(-c4nc5ccccc5nc4-c4ccccc4)cc3)cc2)cc1,2,2,561.15,561.15,0.0,[*]c1ccc2nc(-c3ccc(Sc4ccc(-c5nc6ccc([*])cc6nc5-c5ccccc5)cc4)cc3)c(-c3ccccc3)nc2c1 | [*]c1ccc2nc(-c3ccccc3)c(-c3ccc(Sc4ccc(-c5nc6cc([*])ccc6nc5-c5ccccc5)cc4)cc3)nc2c1
