PSMILES,Tg
[*]CCCCCCCCCCOC([*])=O,227.1
[*]CCCCCCCCCCSCCCCCCCCCCC(=O)NCCc1ccc(CCNC([*])=O)cc1,331.15
[*]CCCCCCCCCC[N+]([*])(C)C,339.05
[*]CCCCCCCCCCn1c(=O)c2cc3c(=O)n(CCCCCCCCCCC(=O)Oc4ccc5cc(OC([*])=O)ccc5c4)c(=O)c3cc2c1=O,339.15
[*]CCCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,383.15
[*]CCCCCCCCN(C)c1ccc(C(=O)c2ccc(N([*])C)cc2)cc1,323.15
[*]CCCCCCCCNC([*])=O,321.15
[*]CCCCCCCC[Si](C)(C)O[Si]([*])(C)C,185.15
[*]CCCCCCCNC([*])=O,310.15
[*]CCCCCCN(C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N([*])C(C)C)C(C)C,415.65
[*]CCCCCCN(C)C(=O)CCC(=O)N([*])C,280.65
[*]CCCCCCN(C)C(=O)CCCC(=O)N([*])C,276.15
[*]CCCCCCN(C)c1ccc(C(=O)c2ccc(N([*])C)cc2)cc1,348.65
[*]CCCCCCN(C)c1nc(-c2ccccc2)nc(N([*])C)n1,330.15
[*]CCCCCCN(c1ccccc1)c1ncnc(N([*])c2ccccc2)n1,345.15
[*]CCCCCCN1C(=O)C(=O)N([*])C1=O,328.15
[*]CCCCCCN1C(=O)CC(C)(SCCOCCSC2(C)CC(=O)N(CCCCCCN3C(=O)C(C)C(SCCOCCSC4C(=O)N([*])C(=O)C4C)C3=O)C2=O)C1=O,351.15
[*]CCCCCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC([*])=O)cc4)cc3)cc2C1=O,380.15
[*]CCCCCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC([*])=O)cc3)cc2C1=O,347.465
[*]CCCCCCNC([*])=O,325.15
[*]CCCCCCOC([*])=O,259.15
[*]CCCCCCSCCCCCCC(=O)NCc1ccc(CNC([*])=O)cc1,338.15
[*]CCCCCC[Si](C)(C)O[Si]([*])(C)C,183.15
[*]CCCCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC([*])=O)cc4)cc3)cc2C1=O,391.15
[*]CCCCCN1C(=O)c2ccc(C(=O)Oc3ccc(C4(c5ccc(OC([*])=O)cc5)CCCCC4)cc3)cc2C1=O,395.15
[*]CCCCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC([*])=O)cc3)cc2C1=O,362.15
[*]CCCCCN1C(=O)c2ccc(C(=O)Oc3ccc4ccc(OC([*])=O)cc4c3)cc2C1=O,386.15
[*]CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)Nc3ccc(Cc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,460.15
[*]CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)Nc3ccc(NC([*])=O)cc3)C4=O)cc2C1=O,473.15
[*]CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)Nc3ccc(Oc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,468.15
[*]CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)Nc3ccc(Oc5ccc(Oc6ccc(NC([*])=O)cc6)cc5)cc3)C4=O)cc2C1=O,431.15
[*]CCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCC(=O)Nc3cccc(Oc5ccc(NC([*])=O)cc5)c3)C4=O)cc2C1=O,443.15
[*]CCCCCSC([*])=O,292.15
[*]CCCCCSSCCCCC[*],208.15
[*]CCCCCSSSCCCCC[*],203.15
[*]CCCCCSSSSCCCCC[*],197.15
[*]CCCCC[Si]([*])(C)c1ccccc1,262.75
[*]CCCCCn1c(=O)c2cc3c(=O)n(CCCCCC(=O)Oc4ccc(OC([*])=O)cc4-c4ccccc4)c(=O)c3cc2c1=O,355.15
[*]CCCCCn1c(=O)c2cc3c(=O)n(CCCCCC(=O)Oc4ccc(OC([*])=O)cc4Cl)c(=O)c3cc2c1=O,360.15
[*]CCCCCn1c(=O)c2cc3c(=O)n(CCCCCC(=O)Oc4ccc(Oc5ccc(OC([*])=O)cc5)cc4)c(=O)c3cc2c1=O,364.15
[*]CCCCCn1c(=O)c2cc3c(=O)n(CCCCCC(=O)Oc4ccc5ccc(OC([*])=O)cc5c4)c(=O)c3cc2c1=O,371.15
[*]CCCCN(C)S(=O)(=O)c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(S(=O)(=O)N([*])C)cc4)cc3)cc2)cc1,393.15
[*]CCCCN(c1ccccc1)c1ncnc(N([*])c2ccccc2)n1,364.15
[*]CCCCN1C(=O)C2C3C=CC(C4C(=O)N([*])C(=O)C34)C2C1=O,484.15
[*]CCCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC([*])=O)cc4)cc3)cc2C1=O,396.15
[*]CCCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC([*])=O)cc3)cc2C1=O,362.465
[*]CCCCNC(=O)CCCCC(=O)NCCCP([*])(C)=O,332.15
[*]CCCCOC([*])=O,207.15
[*]CCCCOCCCCC(=O)NCc1ccc(CNC([*])=O)cc1,343.15
[*]CCCCSCCCCC(=O)NCc1ccc(CNC([*])=O)cc1,343.15
[*]CCCCn1c(=O)c2cc3c(=O)n(CCC([*])C)c(=O)c3cc2c1=O,408.15
[*]CCCN(C)c1ccc(C(=O)c2ccc(N([*])C)cc2)cc1,374.15
[*]CCCN([*])C,235.65
[*]CCCN([*])C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,298.15
[*]CCCN([*])C(=O)CC,281.15
[*]CCCN([*])C(=O)CCCCC,257.15
[*]CCCN([*])C(=O)c1ccccc1,345.15
[*]CCCN([*])C(C)=O,303.15
[*]CCCN1C(=O)C2C3C=CC(C4C(=O)N([*])C(=O)C34)C2C1=O,483.15
[*]CCCN1C(=O)CC([*])CC1=O,363.15
[*]CCCN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(CCC[Si](C)(C)O[Si]([*])(C)C)C4=O)cc2C1=O,348.15
[*]CCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC(=O)c5ccc6c(c5)C(=O)N(CC([*])C)C6=O)cc4)cc3)cc2C1=O,428.15
[*]CCCN1C(=O)c2ccc(C(=O)Oc3ccc(-c4ccc(OC([*])=O)cc4)cc3)cc2C1=O,405.15
[*]CCCN1C(=O)c2ccc(C(=O)Oc3ccc(OC([*])=O)cc3)cc2C1=O,405.15
[*]CCCN1C(=O)c2ccc(C(=O)Oc3ccc4cc(OC(=O)c5ccc6c(c5)C(=O)N(CC([*])C)C6=O)ccc4c3)cc2C1=O,403.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3ccc(Cc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,468.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3ccc(NC([*])=O)cc3)C4=O)cc2C1=O,482.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3ccc(Oc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,471.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3ccc(Oc5ccc(Oc6ccc(NC([*])=O)cc6)cc5)cc3)C4=O)cc2C1=O,451.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCC(=O)Nc3cccc(Oc5ccc(NC([*])=O)cc5)c3)C4=O)cc2C1=O,461.15
[*]CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC[Si](C)(C)O[Si]([*])(C)C)C4=O)cc2C1=O,341.15
[*]CCCNC(=O)C(=O)NCC([*])(C)C,382.15
[*]CCCNC(=O)C(=O)NCCC[Si](C)(C)O[Si]([*])(C)C,226.67
[*]CCCNC(=O)CCCC(=O)NCC([*])(C)C,355.15
[*]CCCNC(=O)CCCCC(=O)NCC([*])(C)C,350.15
[*]CCCNC(=O)CCCCC(=O)NCCCN([*])C,278.15
[*]CCCNC(=O)CCCCC(=O)NCCCP([*])(C)=O,306.15
[*]CCCNC(=O)CCCCC(=O)NCCCP([*])CC(C)C,344.15
[*]CCCNC(=O)CCCCC(=O)NCCCP([*])CCCCCCCC,285.15
[*]CCCNC(=O)CCCCCC(=O)NCC([*])(C)C,343.65
[*]CCCNC(=O)CCCCCCCC(=O)NCC([*])(C)C,336.15
[*]CCCNC(=O)c1ccc(C(=O)NCC([*])(C)C)cc1,430.15
[*]CCCNC(=O)c1ccc(C(=O)NCC([*])C)cc1,426.15
[*]CCCNC(=O)c1ccc(C(=O)NCCC([*])C(C)C)cc1,423.15
[*]CCCNC(=O)c1ccc(C(=O)NCCC([*])CC)cc1,408.15
[*]CCCNC(=O)c1ccc(C(=O)NCCCC([*])(C)C)cc1,425.15
[*]CCCNC(=O)c1ccc(Oc2ccc(C(=O)NCC([*])(C)C)cc2)cc1,428.15
[*]CCCNC(=O)c1cccc(C(=O)NCC([*])(C)C)c1,426.15
[*]CCCNC([*])=O,335.95
[*]CCCOC(=O)C(CCCCCCCCOc1ccc(-c2ccc(OCc3ccc(C#N)cc3)cc2)cc1)C(=O)OCCC[Sn]([*])(C)C,295.15
[*]CCCOC(=O)C(CCCCCCOc1ccc(-c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2)cc1)C(=O)OCCC[Sn]([*])(C)C,313.65
[*]CCCOC([*])=O,274.65
[*]CCCOCOCC[*],193.15
[*]CCCO[Si](C)(C)OC([*])C,192.15
[*]CCCSSCCC[*],199.15
[*]CCCSSCC[*],201.15
[*]CCC[Si]([*])(C)C,218.15
[*]CCC[Si]([*])(C)CCC[Si](C)(C)C,227.15
[*]CCC[Si]([*])(C)C[Si](C)(C)C,222.15
[*]CCC[Si]([*])(C)O[Si](C)(C)CCCOc1ccc(-c2ccc(C#N)cc2)cc1,268.55
[*]CCC[Si]([*])(C)O[Si](C)(C)CCCOc1ccc(C#N)cc1,227.65
[*]CCC[Si]([*])(C)O[Si](C)(C)CCCOc1ccc(C(=O)Oc2ccc(-c3ccc(C#N)cc3)cc2)cc1,283.25
[*]CCC[Si]([*])(C)O[Si](C)(C)CCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,254.05
[*]CCC[Si]([*])(C)c1ccc(N(C)C)cc1,279.65
[*]CCC[Si]([*])(C)c1cccc(C)c1,248.15
[*]CCC[Si]([*])(C)c1ccccc1,271.65
[*]CCC[Si]([*])(C[Si](C)(C)c1ccccc1)C[Si](C)(C)c1ccccc1,237.15
[*]CCC[Si]([*])(c1ccc(C)cc1)c1ccc(C)cc1,311.15
[*]CCC[Si]([*])(c1cccc2ccccc12)C1CCCCC1,320.65
[*]CCC[Si]([*])(c1ccccc1)c1ccc(N(C)C)cc1,325.15
[*]CCCn1c(=O)c2cc3c(=O)n(CCCC([*])(C)C)c(=O)c3cc2c1=O,408.15
[*]CCN(C)C(=O)CCCCCCCCC(=O)N([*])C,273.15
[*]CCN(C)c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(N([*])C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,500.15
[*]CCN([*])C,242.15
[*]CCN([*])C(=O)C(C)C,303.15
[*]CCN([*])C(=O)C(OC)(c1ccccc1)C(F)(F)F,362.15
[*]CCN([*])C(=O)C1(c2ccc(Cl)cc2)CCC1,385.15
[*]CCN([*])C(=O)C12CC3CC(CC(C3)C1)C2,396.15
[*]CCN([*])C(=O)C1CC1,350.15
[*]CCN([*])C(=O)CC,333.15
[*]CCN([*])C(=O)CC(C)C,303.15
[*]CCN([*])C(=O)CC12CC3CC(CC(C3)C1)C2,412.15
[*]CCN([*])C(=O)CCC,315.15
[*]CCN([*])C(=O)CCC(=O)OC,304.15
[*]CCN([*])C(=O)CCCC,286.15
[*]CCN([*])C(=O)CCCCC,280.15
[*]CCN([*])C(=O)CCCCCC,283.15
[*]CCN([*])C(=O)CCCCCCC,283.15
[*]CCN([*])C(=O)CCCCCCCCCCC,283.15
[*]CCN([*])C(=O)CCCCCCCCCCCCCCCCC,283.15
[*]CCN([*])C(=O)CSC,312.15
[*]CCN([*])C(=O)Cc1ccc(C(F)(F)F)cc1,348.15
[*]CCN([*])C(=O)c1c(F)c(F)c(F)c(F)c1F,409.15
[*]CCN([*])C(=O)c1c(F)c(F)cc(F)c1F,395.15
[*]CCN([*])C(=O)c1c(F)cc(F)c(F)c1F,395.15
[*]CCN([*])C(=O)c1c(F)cc(F)cc1F,408.15
[*]CCN([*])C(=O)c1c(F)ccc(F)c1F,397.15
[*]CCN([*])C(=O)c1c(F)cccc1F,394.65
[*]CCN([*])C(=O)c1cc(F)c(F)c(F)c1,338.15
[*]CCN([*])C(=O)c1cc(F)c(F)c(F)c1F,370.15
[*]CCN([*])C(=O)c1cc(F)c(F)cc1F,378.15
[*]CCN([*])C(=O)c1cc(F)cc(F)c1,379.15
[*]CCN([*])C(=O)c1cc(F)cc(F)c1F,383.15
[*]CCN([*])C(=O)c1cc(F)ccc1F,385.15
[*]CCN([*])C(=O)c1ccc(F)c(F)c1,374.15
[*]CCN([*])C(=O)c1ccc(F)c(F)c1F,375.15
[*]CCN([*])C(=O)c1ccc(F)cc1,377.15
[*]CCN([*])C(=O)c1ccc(F)cc1F,381.15
[*]CCN([*])C(=O)c1ccc(SC(F)(F)F)cc1,373.15
[*]CCN([*])C(=O)c1ccc2ccccc2c1,403.15
[*]CCN([*])C(=O)c1cccc(F)c1,370.15
[*]CCN([*])C(=O)c1cccc(F)c1F,383.15
[*]CCN([*])C(=O)c1ccccc1,384.15
[*]CCN([*])C(=O)c1ccccc1F,382.15
[*]CCN([*])C(C)=O,353.15
[*]CCN([*])CC,241.15
[*]CCN([*])CCOCCOC,289.15
[*]CCN([*])CC[Si](C)(C)C,208.35
[*]CCN([*])Cc1ccccc1,257.15
[*]CCN1C(=O)CC([*])C1=O,404.15
[*]CCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC(=O)Nc3ccc(Cc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,494.15
[*]CCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC(=O)Nc3ccc(NC([*])=O)cc3)C4=O)cc2C1=O,510.15
[*]CCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC(=O)Nc3ccc(Oc5ccc(NC([*])=O)cc5)cc3)C4=O)cc2C1=O,505.15
[*]CCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC(=O)Nc3ccc(Oc5ccc(Oc6ccc(NC([*])=O)cc6)cc5)cc3)C4=O)cc2C1=O,494.15
[*]CCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCC(=O)Nc3cccc(Oc5ccc(NC([*])=O)cc5)c3)C4=O)cc2C1=O,497.15
[*]CCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(CCN([*])c3ccc(/C=C/C5=CC(=C(C#N)C#N)CC(C)(C)C5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,497.15
[*]CCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(CCN([*])c3ccc(/N=N/c5ccc(C#N)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,486.15
[*]CCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(CCN([*])c3ccc(/N=N/c5ccc(C=O)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,443.15
[*]CCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(CCN([*])c3ccc(/N=N/c5ccc([N+](=O)[O-])cc5C)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,478.15
[*]CCNC(=O)c1cc(C(=O)NCCC(C)C([*])C)cc(C(C)(C)C)c1,446.15
[*]CCNC(=O)c1ccc(C(=O)NCC(C)(C)CC([*])C)cc1,420.15
[*]CCNC(=O)c1ccc(C(=O)NCC(C)CC([*])CC)cc1,412.15
[*]CCNC(=O)c1cccc(C(=O)NCCC(C)C([*])C)c1,398.15
[*]CCOC(=O)C(CCCCCCOc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1)C(=O)OC([*])C,276.15
[*]CCOC(=O)CC([*])C,201.65
[*]CCOC(=O)CCC#CC#CCCC(=O)OCCN([*])c1ccc(/N=N/c2c(C)cc(/N=N/c3ccc(C#N)cc3)cc2C)cc1,336.15
[*]CCOC(=O)CCCCC(=O)OCCC([*])C,194.55
[*]CCOC(=O)NCC1(C)CC(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)cc3)cc2)CC(C)(C)C1,419.15
[*]CCOC(=O)NCCCCCCNC(=O)OCCN([*])c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)c(C)c1,348.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/C=C/c3cc[n+](CCCC)cc3)cc2)c1,394.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc(-c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)c1,431.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc(/C=C/c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)c1,444.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc(/N=N/c4cc(OC)c(/N=N/c5ccc([N+](=O)[O-])cc5)cc4OC)c(C)c3)cc2)c1,421.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)cc3)cc2)c1,432.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3C)c(C)c2)c1,408.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3C)cc2)c1,410.15
[*]CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN([*])c2ccc([N+](=O)[O-])cc2C)c1,371.15
[*]CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCN([*])c3ccc(/N=N/c4ccc([N+](=O)[O-])cc4)c(C)c3)cc2)cc1,388.15
[*]CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCN([*])c3ccc(/N=N/c4ccc([N+](=O)[O-])cc4C)c(C)c3)cc2)cc1,403.15
[*]CCOC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCN([*])c3ccc(OC)cc3)cc2)cc1,333.15
[*]CCOC(=O)c1cc(OCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc(C(=O)OCCN([*])c2ccc(/C=C/c3ccc(/C=C/C4=C(C#N)C(=C(C#N)C#N)OC4(c4ccccc4)C(F)(F)F)s3)cc2)c1,403.15
[*]CCOC(=O)c1ccc(-c2ccc(C(=O)OC([*])C)cc2)cc1,365.65
[*]CCOC(=O)c1ccc(C(=O)OCCN([*])c2ccc(/N=N/c3ccc(-c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)c(OC)c1,419.15
[*]CCOC(=O)c1ccc(C(=O)OCCN([*])c2ccc(/N=N/c3ccc(-c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)cc1,422.15
[*]CCOC(=O)c1ccc(C(=O)OCCN([*])c2ccc(/N=N/c3ccc(/C=C/c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)c(OC)c1,446.15
[*]CCOC(=O)c1ccc(C(=O)OCCN([*])c2ccc(C=C(C#N)C#N)cc2)cc1,400.15
[*]CCOC(=O)c1ccc(OC2(F)C(F)(F)C(F)(F)C2(F)Oc2ccc(C(=O)OCCN([*])c3ccc(/C=C/C4=CC(=C(C#N)C#N)CC(C)(C)C4)cc3)cc2)cc1,416.15
[*]CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN([*])c3ccc(/N=N/c4ccc(/N=N/c5cc(C)c(C#N)c(C)c5)cc4)cc3)cc2)cc1,393.15
[*]CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN([*])c3ccc(/N=N/c4ccc(/N=N/c5cc(C)c([N+](=O)[O-])c(C)c5)cc4)cc3)cc2)cc1,388.15
[*]CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN([*])c3ccc(/N=N/c4ccc(C#N)cc4)cc3)cc2)cc1,394.15
[*]CCOC(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(C(=O)OCCN([*])c5ccc(/N=N/c6ccc(C)cc6)cc5)cc4C3=O)c1)C2=O,444.15
[*]CCOC(=O)c1cccc(C(=O)OCCN([*])c2ccc(/N=N/c3ccc(-c4nc5ccc([N+](=O)[O-])cc5n4CC)cc3)cc2)c1,420.15
[*]CCOC(=O)c1cccc(OCC#CC#CCOc2cccc(C(=O)OCCN([*])c3ccc(/N=N/c4ccc(C#N)cc4)cc3)c2)c1,323.15
[*]CCOC([*])=O,249.15
[*]CCOC([*])C,223.15
[*]CCOCCCCSSCC[*],197.15
[*]CCOCCOC([*])=O,238.15
[*]CCOCOCCCCSSCC[*],197.15
[*]CCOCOCC[*],189.15
[*]CCO[Si](C)(C)OC([*])C,185.15
[*]CCOc1ccc(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(-c6ccc(OCCN([*])c7ccc(C(C#N)=C(C#N)C#N)cc7)cc6)cc(-c6ccccc6)c5c4)ccc3n2)cc1,448.15
[*]CCOc1ccc(-c2nc3ccc(Oc4ccc5nc(-c6ccc(OCCN(C)c7ccc(/C=C/C8=CC(=C9C(=O)c%10ccccc%10C9=C(C#N)C#N)C=C(/C=C/c9ccc(N([*])C)cc9)O8)cc7)cc6)c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,533.15
[*]CCOc1ccc(-c2nc3ccc(Oc4ccc5nc(-c6ccc(OCCN([*])c7ccc(/C=C/c8ccc([N+](=O)[O-])cc8)cc7)cc6)c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,474.15
[*]CCOc1ccc(-c2nc3ccc(Oc4ccc5nc(-c6ccc(OCCN([*])c7ccc(/N=N/c8ccc([N+](=O)[O-])cc8)cc7)cc6)c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,472.15
[*]CCOc1ccc(-c2nc3ccc(Oc4ccc5nc(-c6ccc(OCCN([*])c7ccc(/N=N/c8ccc([N+](=O)[O-])cc8C)cc7)cc6)c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,461.15
[*]CCOc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(OCCN([*])c6ccc(C(C#N)=C(C#N)C#N)cc6)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,491.15
[*]CCP(=O)(CCC(=O)NCCCCCCNC([*])=O)c1ccccc1,302.15
[*]CCP(=S)(CCC(=O)NCCCCCCNC([*])=O)c1ccccc1,316.15
[*]CCSC(=O)CCC([*])C,223.15
[*]CCSC([*])C,214.15
[*]CCSCCC(=O)NCCCCCCNC([*])=O,300.15
[*]CCSCCC(=O)OCCOC([*])=O,230.15
[*]CCSCCC(=O)OCCOCCOC([*])=O,240.15
[*]CCSCCC(=O)OCCOCCOCCOC([*])=O,238.15
[*]CCSCCC(=O)OCCOCCOCCOCCOC([*])=O,235.15
[*]CCSCCC(=O)OCCOCCOCCOCCOCCOC([*])=O,234.15
[*]CCSCCCCCCSCCC(=O)OCCCCOC([*])=O,200.15
[*]CCSC[*],219.65
[*]CCSCc1ccc(Cc2ccc(CSCCC(=O)OCCSCc3ccc(Cc4ccc(CSCCOC([*])=O)cc4)cc3)cc2)cc1,285.15
[*]CCSSCC[*],218.15
[*]CC[Si](C)(C)O[Si]([*])(C)C,185.15
[*]CC[Si](C)(C)O[Si]([*])(C)O[Si](C)(C)C,184.15
[*]CC[Si]1(O[Si]([*])(C)C)O[Si](C)(C)O[Si](C)(C)O1,209.15
[*]CCc1c(Cl)cc([*])cc1Cl,383.15
[*]CCc1cc(C)c([*])cc1C,373.15
[*]CCc1ccc(CC(=O)NCCCCCCNC([*])=O)cc1,360.15
[*]CCc1ccc(CCC(=O)NCCCCCCCCCCCCCCCCCCNC([*])=O)cc1,338.15
[*]CCc1ccc(CCC(=O)NCCCCCCCCCCCCCCNC([*])=O)cc1,358.15
[*]CCc1ccc(CCC(=O)NCCCCCCCCCCCCNC([*])=O)cc1,358.15
[*]CCc1ccc(CCC(=O)NCCCCCCNC([*])=O)cc1,358.15
[*]CCc1ccc(OC(=O)CCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,351.15
[*]CCc1ccc(OC(=O)CCCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,339.15
[*]CCc1ccc(OC(=O)CCCCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,327.65
[*]CCc1ccc(OC(=O)CCCCCCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,320.15
[*]CCc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,315.15
[*]CCc1ccc(OC(=O)COCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,349.15
[*]CCc1ccc(OC(=O)COCCOCC(=O)Oc2ccc(CC(NC([*])=O)C(=O)OCc3ccccc3)cc2)cc1,328.15
[*]CCc1ccc(OCC(=O)NCCCCCCNC([*])=O)cc1,345.15
[*]CCc1ccc([*])c2ccccc12,433.15
[*]CCc1ccc([*])cc1Br,353.15
[*]CCc1ccc([*])cc1C#N,363.15
[*]CCc1ccc([*])cc1CC,298.15
[*]CCc1ccc([*])cc1CCCC,293.15
[*]CCc1ccc([*])cc1Cl,348.15
[*]CCc1ccc([*])o1,298.65
[*]CCc1ccc([*])s1,299.15
[*]CCc1cccc([*])c1,282.15
[*]CN(CC([*])O)c1ccc(/N=N/c2ccc(Cl)cc2)cc1,433.15
[*]CN(CC([*])O)c1ccccc1,351.65
[*]CN(Cc1cc(C23CC4CC(CC(C4)C2)C3)cc([*])c1O)c1ccccc1,382.55
[*]CN1C(=O)C2C3C=CC(C2C1=O)C1C(=O)N(C([*])C)C(=O)C31,485.15
[*]CN1C(=O)c2ccc(C(=O)Nc3ccc(C4(c5ccc(NC([*])=O)cc5)c5ccccc5-c5ccccc54)cc3)cc2C1=O,618.15
[*]CN1C(=O)c2ccc(C(=O)Nc3ccc(Cc4ccc(NC([*])=O)cc4)cc3)cc2C1=O,539.15
[*]CN1C(=O)c2ccc(C(=O)Nc3ccc(NC([*])=O)cc3)cc2C1=O,565.15
